Date,Open,High,Low,Close,Volume,Adjusted Close
2015-12-24,3691.709961,3696.870117,3684.129883,3691.709961,0.0,3691.709961
2015-12-23,3641.47998,3693.459961,3639.090088,3689.51001,0.0,3689.51001
2015-12-22,3629.320068,3637.550049,3589.709961,3614.719971,0.0,3614.719971
2015-12-21,3642.379883,3676.300049,3614.22998,3614.22998,0.0,3614.22998
2015-12-18,3660.5,3685.929932,3641.919922,3648.77002,0.0,3648.77002
2015-12-17,3673.060059,3709.840088,3669.280029,3676.090088,0.0,3676.090088
2015-12-16,3587.75,3636.530029,3574.679932,3615.449951,0.0,3615.449951
2015-12-15,3517.199951,3585.550049,3512.439941,3582.179932,0.0,3582.179932
2015-12-14,3552.689941,3572.159912,3489.040039,3492.899902,0.0,3492.899902
2015-12-11,3582.189941,3586.080078,3520.860107,3538.540039,0.0,3538.540039
2015-12-10,3580.969971,3600.75,3557.310059,3577.97998,0.0,3577.97998
2015-12-09,3620.5,3626.159912,3581.350098,3585.389893,0.0,3585.389893
2015-12-08,3664.169922,3665.02002,3601.139893,3616.97998,0.0,3616.97998
2015-12-07,3664.22998,3699.149902,3656.629883,3667.120117,0.0,3667.120117
2015-12-04,3637.669922,3653.080078,3616.949951,3641.280029,0.0,3641.280029
2015-12-03,3724.530029,3772.939941,3647.709961,3647.709961,0.0,3647.709961
2015-12-02,3743.439941,3754.01001,3724.840088,3732.939941,0.0,3732.939941
2015-12-01,3767.0,3773.72998,3733.860107,3744.100098,0.0,3744.100098
2015-11-30,3748.219971,3768.939941,3736.439941,3760.889893,0.0,3760.889893
2015-11-27,3744.280029,3772.050049,3733.580078,3752.790039,0.0,3752.790039
2015-11-26,3712.090088,3752.709961,3709.030029,3752.709961,0.0,3752.709961
2015-11-25,3677.399902,3727.98999,3671.629883,3708.689941,0.0,3708.689941
2015-11-24,3680.699951,3681.899902,3640.830078,3672.449951,0.0,3672.449951
2015-11-23,3697.439941,3716.350098,3680.0,3692.639893,0.0,3692.639893
2015-11-20,3706.179932,3714.820068,3681.120117,3702.620117,0.0,3702.620117
2015-11-19,3696.610107,3726.399902,3695.149902,3701.840088,0.0,3701.840088
2015-11-18,3674.620117,3692.52002,3672.310059,3683.379883,0.0,3683.379883
2015-11-17,3651.47998,3695.040039,3646.300049,3695.040039,0.0,3695.040039
2015-11-16,3585.080078,3638.530029,3582.01001,3632.439941,0.0,3632.439941
2015-11-13,3602.469971,3620.350098,3582.330078,3603.179932,0.0,3603.179932
2015-11-12,3651.379883,3666.060059,3599.860107,3609.23999,0.0,3609.23999
2015-11-11,3625.899902,3671.300049,3621.179932,3655.689941,0.0,3655.689941
2015-11-10,3624.76001,3633.439941,3594.280029,3612.969971,0.0,3612.969971
2015-11-09,3652.0,3659.290039,3618.830078,3623.840088,0.0,3623.840088
2015-11-06,3610.27002,3659.72998,3607.169922,3649.189941,0.0,3649.189941
2015-11-05,3628.51001,3628.679932,3593.97998,3600.23999,0.0,3600.23999
2015-11-04,3611.449951,3636.199951,3603.699951,3609.709961,0.0,3609.709961
2015-11-03,3620.709961,3625.790039,3600.620117,3609.800049,0.0,3609.800049
2015-11-02,3571.560059,3632.100098,3571.560059,3624.179932,0.0,3624.179932
2015-10-30,3594.370117,3611.090088,3575.52002,3600.199951,0.0,3600.199951
2015-10-29,3603.540039,3604.919922,3567.090088,3587.02002,0.0,3587.02002
2015-10-28,3528.790039,3581.48999,3526.870117,3579.360107,0.0,3579.360107
2015-10-27,3519.22998,3542.870117,3511.129883,3513.689941,0.0,3513.689941
2015-10-26,3517.189941,3536.439941,3503.850098,3526.030029,0.0,3526.030029
2015-10-23,3483.110107,3531.620117,3478.350098,3521.52002,0.0,3521.52002
2015-10-22,3407.110107,3470.409912,3405.060059,3462.300049,0.0,3462.300049
2015-10-21,3445.830078,3449.860107,3418.530029,3427.149902,0.0,3427.149902
2015-10-20,3439.459961,3460.370117,3423.439941,3434.0,0.0,3434.0
2015-10-19,3426.620117,3454.0,3425.350098,3439.419922,0.0,3439.419922
2015-10-16,3413.070068,3435.98999,3409.139893,3425.610107,0.0,3425.610107
2015-10-15,3401.540039,3404.419922,3383.72998,3399.620117,0.0,3399.620117
2015-10-14,3380.030029,3408.189941,3363.219971,3377.02002,0.0,3377.02002
2015-10-13,3421.030029,3421.030029,3372.719971,3396.550049,0.0,3396.550049
2015-10-12,3453.080078,3457.639893,3408.48999,3420.949951,0.0,3420.949951
2015-10-09,3461.379883,3464.580078,3431.649902,3442.77002,0.0,3442.77002
2015-10-08,3440.26001,3452.600098,3419.629883,3436.179932,0.0,3436.179932
2015-10-07,3465.850098,3487.300049,3434.719971,3440.02002,0.0,3440.02002
2015-10-06,3433.51001,3465.060059,3418.659912,3447.090088,0.0,3447.090088
2015-10-05,3389.25,3445.840088,3379.48999,3438.169922,0.0,3438.169922
2015-10-02,3356.169922,3384.090088,3291.949951,3342.929932,0.0,3342.929932
2015-10-01,3368.860107,3397.439941,3316.860107,3327.189941,0.0,3327.189941
2015-09-30,3340.040039,3358.709961,3324.26001,3344.5,0.0,3344.5
2015-09-29,3284.310059,3327.100098,3271.840088,3296.76001,0.0,3296.76001
2015-09-28,3376.139893,3387.820068,3317.830078,3317.889893,0.0,3317.889893
2015-09-25,3342.050049,3393.75,3337.790039,3378.52002,0.0,3378.52002
2015-09-24,3354.800049,3363.879883,3280.649902,3298.02002,0.0,3298.02002
2015-09-23,3343.51001,3381.280029,3322.51001,3354.850098,0.0,3354.850098
2015-09-22,3447.649902,3449.929932,3341.110107,3346.050049,0.0,3346.050049
2015-09-21,3418.080078,3462.98999,3411.280029,3446.419922,0.0,3446.419922
2015-09-18,3459.870117,3464.699951,3387.320068,3418.370117,0.0,3418.370117
2015-09-17,3489.449951,3491.120117,3464.209961,3466.959961,0.0,3466.959961
2015-09-16,3451.860107,3504.949951,3448.780029,3479.949951,0.0,3479.949951
2015-09-15,3414.610107,3434.469971,3383.110107,3423.340088,0.0,3423.340088
